"","id","risq","NBCAV","SEXE","DATE_EER","AGE","tranche_age","PNB"
"31877",32350558,1,0.5,"F",1982-04-01,52,"50-54 ans",243.331135199995
"31878",32350559,1,0.5,"M",1995-12-01,34,"30-34 ans",148.974973942764
"31879",32350560,1,0.5,"M",1986-01-01,53,"50-54 ans",73.5304413927322
"31880",32350562,2,0.5,"M",1991-11-01,57,"55-59 ans",191.94721237352
"31881",32350563,1,0.5,"M",1985-07-01,52,"50-54 ans",363.700843972505
"31882",32350565,NA,0,"M",1996-11-01,38,"35-39 ans",1.071444735102
"31883",32350568,1,1,"F",1990-09-01,60,"60-64 ans",2044.62444074111
"31884",32350569,1,1,"F",1992-12-01,56,"55-59 ans",1187.20344920354
"31885",32350572,1,0.5,"F",1983-11-01,75,"75-79 ans",2110.00345770206
"31886",32350574,0,0.5,"F",1992-08-01,54,"50-54 ans",83.1884063471267
"31887",32350578,1,1,"F",1965-03-01,93,"80 ans et +",1785.79706169947
"31888",32350580,1,0.5,"M",1986-08-01,48,"45-49 ans",321.651541940368
"31889",32350582,1,1,"M",1990-07-01,51,"50-54 ans",748.302928868966
"31890",32350583,1,0.5,"M",1996-06-01,57,"55-59 ans",238.692632867922
"31891",32350584,1,1,"F",1989-06-01,81,"80 ans et +",89.2781886029877
"31892",32350585,0,0.2,"M",1987-01-01,80,"80 ans et +",67.9307730189583
"31893",32350586,1,0.5,"M",1989-08-01,53,"50-54 ans",123.180109408823
"31894",32350587,0,0.5,"F",1986-04-01,68,"65-69 ans",297.584992602844
"31895",32350588,0,0.5,"M",1997-03-01,65,"65-69 ans",117.407296328271
"31896",32350590,0,1,"M",1992-01-01,53,"50-54 ans",97.7070065278583
"31897",32350593,1,1,"M",1971-01-01,79,"75-79 ans",776.638831320402
"31898",32350598,1,1,"F",1995-03-01,34,"30-34 ans",161.981055861465
"31899",32350599,NA,0.0416666666666667,"F",1970-12-01,88,"80 ans et +",455.083965554029
"31900",32350600,1,0.5,"M",1981-08-01,81,"80 ans et +",53.0914160576817
"31901",32350601,1,1,"F",1981-07-01,76,"75-79 ans",252.445115251385
"31902",32350606,1,1,"M",1988-08-01,48,"45-49 ans",958.742414699968
"31903",32350607,1,0.5,"M",1985-09-01,66,"65-69 ans",90.1606459738064
"31904",32350610,3,1,"M",1995-06-01,25,"25-27 ans",1336.16110576423
"31905",32350613,1,0.5,"M",1963-06-01,74,"70-74 ans",609.54279292718
"31906",32350614,NA,NA,"M",1976-07-01,66,"65-69 ans",477.456317932846
"31907",32350619,2,1,"M",2010-03-13,42,"40-44 ans",1971.13325397552
"31908",32350620,3,1,"M",1991-07-01,52,"50-54 ans",502.680331539188
"31909",32350623,0,0.5,"F",1998-09-18,43,"40-44 ans",83.1041375610073
"31910",32350625,1,1,"F",1995-06-01,26,"25-27 ans",237.557569843197
"31911",32350628,1,0.5,"M",1982-05-01,65,"65-69 ans",1144.6584935594
"31912",32350630,1,0.5,"F",1984-07-01,63,"60-64 ans",120.976122702616
"31913",32350633,1,1.08333333333333,"M",1996-07-01,40,"40-44 ans",345.158293115984
"31914",32350634,1,0.5,"F",1986-12-01,54,"50-54 ans",99.0572138849667
"31915",32350635,1,1,"F",1998-09-18,30,"30-34 ans",12.006445494408
"31916",32350636,NA,NA,"F",1989-03-01,60,"60-64 ans",121.653438399716
"31917",32350638,1,0.5,"M",1966-12-01,65,"65-69 ans",414.205040544895
"31918",32350640,1,0.5,"F",1989-12-01,46,"45-49 ans",461.303899083846
"31919",32350642,1,1,"F",1990-11-01,90,"80 ans et +",1156.47463484724
"31920",32350644,1,1,"M",1996-03-01,30,"30-34 ans",740.034391039424
"31921",32350647,1,1,"M",1982-09-01,61,"60-64 ans",53.857646004968
"31922",32350649,NA,0,"M",1979-07-01,87,"80 ans et +",31.688555295676
"31923",32350651,1,0.5,"F",1973-09-01,68,"65-69 ans",737.912396206945
"31924",32350652,NA,0.25,"F",1987-02-01,55,"55-59 ans",16.5474242974656
"31925",32350654,0,0.5,"M",1996-07-01,31,"30-34 ans",132.730773217257
"31926",32350655,1,0.5,"M",1990-01-01,44,"40-44 ans",220.626107755751
"31927",32350657,1,0.5,"F",1975-04-01,57,"55-59 ans",147.753472153267
"31928",32350660,0,1,"F",1980-02-01,90,"80 ans et +",165.733676998711
"31929",32350661,1,0.5,"F",1990-04-01,52,"50-54 ans",554.695859907712
"31930",32350664,1,0.5,"M",1983-06-01,59,"55-59 ans",252.706502195514
"31931",32350666,1,0.5,"F",1964-06-01,81,"80 ans et +",220.255525335969
"31932",32350668,0,1,"F",1978-04-01,87,"80 ans et +",973.246804095147
"31933",32350670,1,0.5,"F",1992-01-01,64,"60-64 ans",281.581424335027
"31934",32350671,0,NA,"M",1985-05-01,28,"28-29 ans",0.5483893044283
"31935",32350672,1,1,"M",1985-09-01,46,"45-49 ans",136.061114606772
